#FRAME_ID, X, Y, Z
240.000 -0.394 -0.001 0.193
498.000 5.434 -0.040 -1.315
241.000 -0.378 -0.004 0.190
323.000 1.509 -0.043 -0.137
242.000 -0.367 -0.004 0.189
4.000 -6.003 0.170 0.527
243.000 -0.339 -0.004 0.184
243.000 -0.339 -0.004 0.184
288.000 0.706 -0.027 0.027
293.000 0.817 -0.029 0.008
244.000 -0.323 -0.005 0.182
307.000 1.134 -0.039 -0.069
412.000 3.541 -0.060 -0.694
245.000 -0.296 -0.006 0.178
245.000 -0.297 -0.006 0.178
246.000 -0.269 -0.005 0.176
305.000 1.084 -0.038 -0.058
313.000 1.269 -0.042 -0.096
246.000 -0.268 -0.004 0.177
248.000 -0.220 -0.007 0.173
249.000 -0.205 -0.006 0.172
250.000 -0.178 -0.006 0.169
252.000 -0.126 -0.007 0.166
253.000 -0.101 -0.008 0.162
254.000 -0.077 -0.010 0.159
255.000 -0.057 -0.010 0.157
267.000 0.207 -0.014 0.115
256.000 -0.042 -0.011 0.155
257.000 -0.017 -0.013 0.150
261.000 0.076 -0.010 0.142
263.000 0.109 -0.013 0.136
340.000 1.884 -0.048 -0.222
264.000 0.134 -0.012 0.132
431.000 3.960 -0.062 -0.825
266.000 0.183 -0.014 0.120
268.000 0.231 -0.016 0.109
357.000 2.287 -0.054 -0.334
270.000 0.267 -0.015 0.103
489.000 5.236 -0.037 -1.254
492.000 5.306 -0.034 -1.282
272.000 0.320 -0.016 0.091
273.000 0.346 -0.017 0.086
274.000 0.373 -0.020 0.079
276.000 0.421 -0.020 0.072
361.000 2.383 -0.055 -0.361
280.000 0.514 -0.024 0.055
281.000 0.541 -0.022 0.051
389.000 3.031 -0.058 -0.528
283.000 0.590 -0.026 0.042
320.000 1.433 -0.043 -0.121
286.000 0.656 -0.028 0.033
287.000 0.682 -0.026 0.030
290.000 0.752 -0.028 0.019
490.000 5.259 -0.041 -1.263
292.000 0.792 -0.032 0.012
386.000 2.971 -0.055 -0.513
294.000 0.842 -0.029 0.004
295.000 0.867 -0.030 -0.001
297.000 0.913 -0.034 -0.013
353.000 2.183 -0.049 -0.305
396.000 3.185 -0.060 -0.580
299.000 0.952 -0.032 -0.022
304.000 1.070 -0.038 -0.056
359.000 2.338 -0.054 -0.347
306.000 1.109 -0.039 -0.065
310.000 1.208 -0.041 -0.085
314.000 1.294 -0.043 -0.099
348.000 2.065 -0.053 -0.274
387.000 2.997 -0.060 -0.518
315.000 1.320 -0.044 -0.104
360.000 2.363 -0.053 -0.353
318.000 1.392 -0.043 -0.114
421.000 3.743 -0.057 -0.758
383.000 2.894 -0.056 -0.490
319.000 1.407 -0.043 -0.117
325.000 1.555 -0.044 -0.148
326.000 1.570 -0.046 -0.152
327.000 1.596 -0.046 -0.159
328.000 1.622 -0.046 -0.163
476.000 4.954 -0.045 -1.160
329.000 1.648 -0.046 -0.169
410.000 3.492 -0.059 -0.683
330.000 1.673 -0.047 -0.176
379.000 2.803 -0.059 -0.468
333.000 1.733 -0.047 -0.188
334.000 1.759 -0.047 -0.192
335.000 1.785 -0.051 -0.197
